Table,Column/Variable Name,Column Type,Description 1,Description 2,Description 3,Description 4,Description 5
T1,T1_est54,Subtotal,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 50% but less than or equal to 80% of HAMFI,All,
T1,T1_est55,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 50% but less than or equal to 80% of HAMFI,"White alone, non-Hispanic",
T1,T1_est56,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 50% but less than or equal to 80% of HAMFI,"Black or African-American alone, non-Hispanic",
T1,T1_est57,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 50% but less than or equal to 80% of HAMFI,"Asian alone, non-Hispanic",
T1,T1_est58,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 50% but less than or equal to 80% of HAMFI,"American Indian or Alaska Native alone, non-Hispanic",
T1,T1_est59,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 50% but less than or equal to 80% of HAMFI,"Pacific Islander alone, non-Hispanic",
T1,T1_est60,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 50% but less than or equal to 80% of HAMFI,"Hispanic, any race",
T1,T1_est61,Subtotal,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 80% but less than or equal to 100% of HAMFI,All,
T1,T1_est62,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 80% but less than or equal to 100% of HAMFI,"White alone, non-Hispanic",
T1,T1_est63,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 80% but less than or equal to 100% of HAMFI,"Black or African-American alone, non-Hispanic",
T1,T1_est64,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 80% but less than or equal to 100% of HAMFI,"Asian alone, non-Hispanic",
T1,T1_est65,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 80% but less than or equal to 100% of HAMFI,"American Indian or Alaska Native alone, non-Hispanic",
T1,T1_est66,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 80% but less than or equal to 100% of HAMFI,"Pacific Islander alone, non-Hispanic",
T1,T1_est67,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 80% but less than or equal to 100% of HAMFI,"Hispanic, any race",
T1,T1_est68,Subtotal,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 100% of HAMFI,All,
T1,T1_est69,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 100% of HAMFI,"White alone, non-Hispanic",
T1,T1_est70,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 100% of HAMFI,"Black or African-American alone, non-Hispanic",
T1,T1_est71,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 100% of HAMFI,"Asian alone, non-Hispanic",
T1,T1_est72,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 100% of HAMFI,"American Indian or Alaska Native alone, non-Hispanic",
T1,T1_est73,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 100% of HAMFI,"Pacific Islander alone, non-Hispanic",
T1,T1_est74,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 100% of HAMFI,"Hispanic, any race",
T1,T1_est75,Subtotal,Renter occupied,All,All,All,
T1,T1_est76,Subtotal,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",All,All,
T1,T1_est77,Subtotal,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",less than or equal to 30% of HAMFI,All,
T1,T1_est78,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",less than or equal to 30% of HAMFI,"White alone, non-Hispanic",
T1,T1_est79,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",less than or equal to 30% of HAMFI,"Black or African-American alone, non-Hispanic",
T1,T1_est80,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",less than or equal to 30% of HAMFI,"Asian alone, non-Hispanic",
T1,T1_est81,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",less than or equal to 30% of HAMFI,"American Indian or Alaska Native alone, non-Hispanic",
T1,T1_est82,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",less than or equal to 30% of HAMFI,"Pacific Islander alone, non-Hispanic",
T1,T1_est83,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",less than or equal to 30% of HAMFI,"Hispanic, any race",
T1,T1_est84,Subtotal,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 30% but less than or equal to 50% of HAMFI,All,
T1,T1_est85,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 30% but less than or equal to 50% of HAMFI,"White alone, non-Hispanic",
T1,T1_est86,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 30% but less than or equal to 50% of HAMFI,"Black or African-American alone, non-Hispanic",
T1,T1_est87,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 30% but less than or equal to 50% of HAMFI,"Asian alone, non-Hispanic",
T1,T1_est88,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 30% but less than or equal to 50% of HAMFI,"American Indian or Alaska Native alone, non-Hispanic",
T1,T1_est89,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 30% but less than or equal to 50% of HAMFI,"Pacific Islander alone, non-Hispanic",
T1,T1_est90,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 30% but less than or equal to 50% of HAMFI,"Hispanic, any race",
T1,T1_est91,Subtotal,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 50% but less than or equal to 80% of HAMFI,All,
T1,T1_est92,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 50% but less than or equal to 80% of HAMFI,"White alone, non-Hispanic",
T1,T1_est93,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 50% but less than or equal to 80% of HAMFI,"Black or African-American alone, non-Hispanic",
T1,T1_est94,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 50% but less than or equal to 80% of HAMFI,"Asian alone, non-Hispanic",
T1,T1_est95,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 50% but less than or equal to 80% of HAMFI,"American Indian or Alaska Native alone, non-Hispanic",
T1,T1_est96,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 50% but less than or equal to 80% of HAMFI,"Pacific Islander alone, non-Hispanic",
T1,T1_est97,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 50% but less than or equal to 80% of HAMFI,"Hispanic, any race",
T1,T1_est98,Subtotal,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 80% but less than or equal to 100% of HAMFI,All,
T1,T1_est99,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 80% but less than or equal to 100% of HAMFI,"White alone, non-Hispanic",
T1,T1_est100,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 80% but less than or equal to 100% of HAMFI,"Black or African-American alone, non-Hispanic",
T1,T1_est101,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 80% but less than or equal to 100% of HAMFI,"Asian alone, non-Hispanic",
T1,T1_est102,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 80% but less than or equal to 100% of HAMFI,"American Indian or Alaska Native alone, non-Hispanic",
T1,T1_est103,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 80% but less than or equal to 100% of HAMFI,"Pacific Islander alone, non-Hispanic",
T1,T1_est104,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 80% but less than or equal to 100% of HAMFI,"Hispanic, any race",
T1,T1_est105,Subtotal,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 100% of HAMFI,All,
T1,T1_est106,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 100% of HAMFI,"White alone, non-Hispanic",
T1,T1_est107,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 100% of HAMFI,"Black or African-American alone, non-Hispanic",
T1,T1_est108,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 100% of HAMFI,"Asian alone, non-Hispanic",
T1,T1_est109,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 100% of HAMFI,"American Indian or Alaska Native alone, non-Hispanic",
T1,T1_est110,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 100% of HAMFI,"Pacific Islander alone, non-Hispanic",
T1,T1_est111,Detail,Renter occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 100% of HAMFI,"Hispanic, any race",
T1,T1_est112,Subtotal,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",All,All,
T1,T1_est113,Subtotal,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",less than or equal to 30% of HAMFI,All,
T1,T1_est114,Detail,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",less than or equal to 30% of HAMFI,"White alone, non-Hispanic",
T1,T1_est115,Detail,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",less than or equal to 30% of HAMFI,"Black or African-American alone, non-Hispanic",
T1,T1_est116,Detail,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",less than or equal to 30% of HAMFI,"Asian alone, non-Hispanic",
T1,T1_est117,Detail,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",less than or equal to 30% of HAMFI,"American Indian or Alaska Native alone, non-Hispanic",
T1,T1_est118,Detail,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",less than or equal to 30% of HAMFI,"Pacific Islander alone, non-Hispanic",
T1,T1_est119,Detail,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",less than or equal to 30% of HAMFI,"Hispanic, any race",
T1,T1_est120,Subtotal,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 30% but less than or equal to 50% of HAMFI,All,
T1,T1_est121,Detail,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 30% but less than or equal to 50% of HAMFI,"White alone, non-Hispanic",
T1,T1_est122,Detail,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 30% but less than or equal to 50% of HAMFI,"Black or African-American alone, non-Hispanic",
T1,T1_est123,Detail,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 30% but less than or equal to 50% of HAMFI,"Asian alone, non-Hispanic",
T1,T1_est124,Detail,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 30% but less than or equal to 50% of HAMFI,"American Indian or Alaska Native alone, non-Hispanic",
T1,T1_est125,Detail,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 30% but less than or equal to 50% of HAMFI,"Pacific Islander alone, non-Hispanic",
T1,T1_est126,Detail,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 30% but less than or equal to 50% of HAMFI,"Hispanic, any race",
T1,T1_est127,Subtotal,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 50% but less than or equal to 80% of HAMFI,All,
T1,T1_est128,Detail,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 50% but less than or equal to 80% of HAMFI,"White alone, non-Hispanic",
T1,T1_est129,Detail,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 50% but less than or equal to 80% of HAMFI,"Black or African-American alone, non-Hispanic",
T1,T1_est130,Detail,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 50% but less than or equal to 80% of HAMFI,"Asian alone, non-Hispanic",
T1,T1_est131,Detail,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 50% but less than or equal to 80% of HAMFI,"American Indian or Alaska Native alone, non-Hispanic",
T1,T1_est132,Detail,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 50% but less than or equal to 80% of HAMFI,"Pacific Islander alone, non-Hispanic",
T1,T1_est133,Detail,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 50% but less than or equal to 80% of HAMFI,"Hispanic, any race",
T1,T1_est134,Subtotal,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 80% but less than or equal to 100% of HAMFI,All,
T1,T1_est135,Detail,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 80% but less than or equal to 100% of HAMFI,"White alone, non-Hispanic",
T1,T1_est136,Detail,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 80% but less than or equal to 100% of HAMFI,"Black or African-American alone, non-Hispanic",
T1,T1_est137,Detail,Renter occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 80% but less than or equal to 100% of HAMFI,"Asian alone, non-Hispanic",
