Category,Code,Value,Year,Source,Notes,Geography
Occupied Housing Units: Renter Occupied,H004003,6153,2000,dec/sf1,,El Dorado County (Tahoe Basin)
Occupied Housing Units: Renter Occupied,H004003,1105,2000,dec/sf1,,Douglas County (Tahoe Basin)
Occupied Housing Units: Renter Occupied,DP1_0160C,1290,2020,dec/dp,,Washoe County (Tahoe Basin)
Occupied Housing Units: Renter Occupied,DP1_0160C,1810,2020,dec/dp,,Placer County (Tahoe Basin)
Occupied Housing Units: Renter Occupied,DP1_0160C,6455,2020,dec/dp,,El Dorado County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,B25003_002E,9083,2021,acs/acs5,,South Lake
Occupied Housing Units: Owner Occupied,B25003_002E,5602,2021,acs/acs5,,North Lake
Occupied Housing Units: Owner Occupied,H0080001,1794,1990,dec/sf3,,Washoe County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,H0080001,1896,1990,dec/sf3,,Placer County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,H0080001,5265,1990,dec/sf3,,El Dorado County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,H0080001,1497,1990,dec/sf3,,Douglas County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,H014002,2577,2010,dec/sf1,,Washoe County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,H014002,2520,2010,dec/sf1,,Placer County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,H014002,6479,2010,dec/sf1,,El Dorado County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,H014002,1587,2010,dec/sf1,,Douglas County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,H004002,2843,2000,dec/sf1,,Washoe County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,H004002,2840,2000,dec/sf1,,Placer County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,H004002,7332,2000,dec/sf1,,El Dorado County (Tahoe Basin)
Total Housing Units: Vacant,DP1_0149C,12035,2020,dec/dp,,El Dorado County (Tahoe Basin)
Total Housing Units: Vacant,DP1_0149C,1767,2020,dec/dp,,Douglas County (Tahoe Basin)
Total Housing Units: Vacant,B25002_003E,3934,2020,acs/acs5,,Washoe County (Tahoe Basin)
Total Housing Units: Vacant,B25002_003E,8232,2020,acs/acs5,,Placer County (Tahoe Basin)
Total Housing Units: Vacant,B25002_003E,12811,2020,acs/acs5,,El Dorado County (Tahoe Basin)
Total Housing Units: Vacant,B25002_003E,2153,2020,acs/acs5,,Douglas County (Tahoe Basin)
Total Housing Units: Vacant,B25002_003E,3774,2021,acs/acs5,,Washoe County (Tahoe Basin)
Total Housing Units: Vacant,B25002_003E,8325,2021,acs/acs5,,Placer County (Tahoe Basin)
Total Housing Units: Vacant,B25002_003E,12601,2021,acs/acs5,,El Dorado County (Tahoe Basin)
Total Housing Units: Vacant,B25002_003E,2092,2021,acs/acs5,,Douglas County (Tahoe Basin)
Total Housing Units: Vacant,H0040002,22507,1990,dec/sf3,,Basin
Occupied Housing Units: Renter Occupied,DP1_0160C,917,2020,dec/dp,,Douglas County (Tahoe Basin)
Occupied Housing Units: Renter Occupied,B25003_003E,1093,2020,acs/acs5,,Washoe County (Tahoe Basin)
Occupied Housing Units: Renter Occupied,B25003_003E,1037,2020,acs/acs5,,Placer County (Tahoe Basin)
Occupied Housing Units: Renter Occupied,B25003_003E,6057,2020,acs/acs5,,El Dorado County (Tahoe Basin)
Occupied Housing Units: Renter Occupied,B25003_003E,853,2020,acs/acs5,,Douglas County (Tahoe Basin)
Occupied Housing Units: Renter Occupied,B25003_003E,1202,2021,acs/acs5,,Washoe County (Tahoe Basin)
Occupied Housing Units: Renter Occupied,B25003_003E,1152,2021,acs/acs5,,Placer County (Tahoe Basin)
Occupied Housing Units: Renter Occupied,B25003_003E,5576,2021,acs/acs5,,El Dorado County (Tahoe Basin)
Occupied Housing Units: Renter Occupied,B25003_003E,801,2021,acs/acs5,,Douglas County (Tahoe Basin)
Occupied Housing Units: Renter Occupied,H0080002,10697,1990,dec/sf3,,Basin
Occupied Housing Units: Renter Occupied,H004004,10705,2010,dec/sf1,,Basin
Occupied Housing Units: Renter Occupied,H004003,10583,2000,dec/sf1,,Basin
Occupied Housing Units: Renter Occupied,DP1_0160C,10472,2020,dec/dp,,Basin
Occupied Housing Units: Renter Occupied,B25003_003E,9040,2020,acs/acs5,,Basin
Occupied Housing Units: Renter Occupied,B25003_003E,8731,2021,acs/acs5,,Basin
Occupied Housing Units: Owner Occupied,H0080001,6762,1990,dec/sf3,,South Lake
Occupied Housing Units: Owner Occupied,H0080001,3690,1990,dec/sf3,,North Lake
Occupied Housing Units: Owner Occupied,H014002,8066,2010,dec/sf1,,South Lake
Occupied Housing Units: Owner Occupied,H014002,5097,2010,dec/sf1,,North Lake
Occupied Housing Units: Owner Occupied,H004002,9260,2000,dec/sf1,,South Lake
Occupied Housing Units: Owner Occupied,H004002,5683,2000,dec/sf1,,North Lake
Occupied Housing Units: Owner Occupied,DP1_0159C,8546,2020,dec/dp,,South Lake
Occupied Housing Units: Owner Occupied,DP1_0159C,5607,2020,dec/dp,,North Lake
Occupied Housing Units: Owner Occupied,B25003_002E,8688,2020,acs/acs5,,South Lake
Occupied Housing Units: Owner Occupied,B25003_002E,5567,2020,acs/acs5,,North Lake
Occupied Housing Units: Owner Occupied,H004002,1928,2000,dec/sf1,,Douglas County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,DP1_0159C,3045,2020,dec/dp,,Washoe County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,DP1_0159C,2562,2020,dec/dp,,Placer County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,DP1_0159C,6701,2020,dec/dp,,El Dorado County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,DP1_0159C,1845,2020,dec/dp,,Douglas County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,B25003_002E,2939,2020,acs/acs5,,Washoe County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,B25003_002E,2628,2020,acs/acs5,,Placer County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,B25003_002E,6928,2020,acs/acs5,,El Dorado County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,B25003_002E,1760,2020,acs/acs5,,Douglas County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,B25003_002E,2921,2021,acs/acs5,,Washoe County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,B25003_002E,2681,2021,acs/acs5,,Placer County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,B25003_002E,7215,2021,acs/acs5,,El Dorado County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,B25003_002E,1868,2021,acs/acs5,,Douglas County (Tahoe Basin)
Occupied Housing Units: Owner Occupied,H0080001,10452,1990,dec/sf3,,Basin
Occupied Housing Units: Owner Occupied,H014002,13163,2010,dec/sf1,,Basin
Occupied Housing Units: Owner Occupied,H004002,14943,2000,dec/sf1,,Basin
Occupied Housing Units: Owner Occupied,DP1_0159C,14153,2020,dec/dp,,Basin
Occupied Housing Units: Owner Occupied,B25003_002E,14255,2020,acs/acs5,,Basin
Occupied Housing Units: Owner Occupied,B25003_002E,14685,2021,acs/acs5,,Basin
"Vacant Housing Units: Seasonal, recreational, or occasional use",H0060007,5143,1990,dec/sf3,,South Lake
"Vacant Housing Units: Seasonal, recreational, or occasional use",H0060007,7614,1990,dec/sf3,,North Lake
"Vacant Housing Units: Seasonal, recreational, or occasional use",H0060003,407,1990,dec/sf3,,South Lake
"Vacant Housing Units: Seasonal, recreational, or occasional use",H0060003,1394,1990,dec/sf3,,North Lake
"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,11083,2010,dec/sf1,,South Lake
"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,10367,2010,dec/sf1,,North Lake
"Vacant Housing Units: Seasonal, recreational, or occasional use",H005005,9027,2000,dec/sf1,,South Lake
"Vacant Housing Units: Seasonal, recreational, or occasional use",H005005,9228,2000,dec/sf1,,North Lake
"Vacant Housing Units: Seasonal, recreational, or occasional use",DP1_0154C,11757,2020,dec/dp,,South Lake
"Vacant Housing Units: Seasonal, recreational, or occasional use",DP1_0154C,10126,2020,dec/dp,,North Lake
"Vacant Housing Units: Seasonal, recreational, or occasional use",B25004_006E,12904,2021,acs/acs5,,South Lake
"Vacant Housing Units: Seasonal, recreational, or occasional use",B25004_006E,11011,2021,acs/acs5,,North Lake
"Vacant Housing Units: Seasonal, recreational, or occasional use",B25004_006E,13065,2020,acs/acs5,,South Lake
"Vacant Housing Units: Seasonal, recreational, or occasional use",B25004_006E,11094,2020,acs/acs5,,North Lake
"Vacant Housing Units: Seasonal, recreational, or occasional use",H0060007,1760,1990,dec/sf3,,Washoe County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",H0060007,5854,1990,dec/sf3,,Placer County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",H0060007,3793,1990,dec/sf3,,El Dorado County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",H0060007,1350,1990,dec/sf3,,Douglas County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",H0060003,1033,1990,dec/sf3,,Washoe County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",H0060003,361,1990,dec/sf3,,Placer County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",H0060003,92,1990,dec/sf3,,El Dorado County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",H0060003,315,1990,dec/sf3,,Douglas County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,3353,2010,dec/sf1,,Washoe County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,7014,2010,dec/sf1,,Placer County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,9418,2010,dec/sf1,,El Dorado County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,1665,2010,dec/sf1,,Douglas County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",H005005,2957,2000,dec/sf1,,Washoe County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",H005005,6271,2000,dec/sf1,,Placer County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",H005005,7432,2000,dec/sf1,,El Dorado County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",H005005,1595,2000,dec/sf1,,Douglas County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",DP1_0154C,2787,2020,dec/dp,,Washoe County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",DP1_0154C,7339,2020,dec/dp,,Placer County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",DP1_0154C,10301,2020,dec/dp,,El Dorado County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",DP1_0154C,1456,2020,dec/dp,,Douglas County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",B25004_006E,2951,2021,acs/acs5,,Washoe County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",B25004_006E,8060,2021,acs/acs5,,Placer County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",B25004_006E,11289,2021,acs/acs5,,El Dorado County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",B25004_006E,1615,2021,acs/acs5,,Douglas County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",B25004_006E,3162,2020,acs/acs5,,Washoe County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",B25004_006E,7932,2020,acs/acs5,,Placer County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",B25004_006E,11395,2020,acs/acs5,,El Dorado County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",B25004_006E,1670,2020,acs/acs5,,Douglas County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",H0060007,12757,1990,dec/sf3,,Basin
"Vacant Housing Units: Seasonal, recreational, or occasional use",H0060003,1801,1990,dec/sf3,,Basin
"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,21450,2010,dec/sf1,,Basin
"Vacant Housing Units: Seasonal, recreational, or occasional use",H005005,18255,2000,dec/sf1,,Basin
"Vacant Housing Units: Seasonal, recreational, or occasional use",DP1_0154C,21883,2020,dec/dp,,Basin
"Vacant Housing Units: Seasonal, recreational, or occasional use",B25004_006E,23915,2021,acs/acs5,,Basin
"Vacant Housing Units: Seasonal, recreational, or occasional use",B25004_006E,24159,2020,acs/acs5,,Basin
Total Housing Units: Vacant,H0040002,12048,1990,dec/sf3,,South Lake
Total Housing Units: Vacant,H0040002,10459,1990,dec/sf3,,North Lake
Total Housing Units: Vacant,H003003,13297,2010,dec/sf1,,South Lake
Total Housing Units: Vacant,H003003,11669,2010,dec/sf1,,North Lake
Total Housing Units: Vacant,H003003,10431,2000,dec/sf1,,South Lake
Total Housing Units: Vacant,H003003,10137,2000,dec/sf1,,North Lake
Total Housing Units: Vacant,DP1_0149C,13802,2020,dec/dp,,South Lake
Total Housing Units: Vacant,DP1_0149C,11165,2020,dec/dp,,North Lake
Total Housing Units: Vacant,B25002_003E,14964,2020,acs/acs5,,South Lake
Total Housing Units: Vacant,B25002_003E,12166,2020,acs/acs5,,North Lake
Total Housing Units: Vacant,B25002_003E,14693,2021,acs/acs5,,South Lake
Total Housing Units: Vacant,B25002_003E,12099,2021,acs/acs5,,North Lake
Total Housing Units: Vacant,H0040002,3617,1990,dec/sf3,,Washoe County (Tahoe Basin)
Total Housing Units: Vacant,H0040002,6842,1990,dec/sf3,,Placer County (Tahoe Basin)
Total Housing Units: Vacant,H0040002,9426,1990,dec/sf3,,El Dorado County (Tahoe Basin)
Total Housing Units: Vacant,H0040002,2622,1990,dec/sf3,,Douglas County (Tahoe Basin)
Total Housing Units: Vacant,H003003,4030,2010,dec/sf1,,Washoe County (Tahoe Basin)
Total Housing Units: Vacant,H003003,7639,2010,dec/sf1,,Placer County (Tahoe Basin)
Total Housing Units: Vacant,H003003,11073,2010,dec/sf1,,El Dorado County (Tahoe Basin)
Total Housing Units: Vacant,H003003,2224,2010,dec/sf1,,Douglas County (Tahoe Basin)
Total Housing Units: Vacant,H003003,3488,2000,dec/sf1,,Washoe County (Tahoe Basin)
Total Housing Units: Vacant,H003003,6649,2000,dec/sf1,,Placer County (Tahoe Basin)
Total Housing Units: Vacant,H003003,8530,2000,dec/sf1,,El Dorado County (Tahoe Basin)
Total Housing Units: Vacant,H003003,1901,2000,dec/sf1,,Douglas County (Tahoe Basin)
Total Housing Units: Vacant,DP1_0149C,3333,2020,dec/dp,,Washoe County (Tahoe Basin)
Total Housing Units: Vacant,DP1_0149C,7832,2020,dec/dp,,Placer County (Tahoe Basin)
Total Housing Units: Vacant,H003003,24966,2010,dec/sf1,,Basin
Total Housing Units: Vacant,H003003,20568,2000,dec/sf1,,Basin
Total Housing Units: Vacant,DP1_0149C,24967,2020,dec/dp,,Basin
Total Housing Units: Vacant,B25002_003E,27130,2020,acs/acs5,,Basin
Total Housing Units: Vacant,B25002_003E,26792,2021,acs/acs5,,Basin
Total Housing Units: Occupied,H0040001,14177,1990,dec/sf3,,South Lake
Total Housing Units: Occupied,H0040001,6972,1990,dec/sf3,,North Lake
Total Housing Units: Occupied,H003002,15477,2010,dec/sf1,,South Lake
Total Housing Units: Occupied,H003002,8391,2010,dec/sf1,,North Lake
Total Housing Units: Occupied,H003002,16518,2000,dec/sf1,,South Lake
Total Housing Units: Occupied,H003002,9008,2000,dec/sf1,,North Lake
Total Housing Units: Occupied,DP1_0148C,15918,2020,dec/dp,,South Lake
Total Housing Units: Occupied,DP1_0148C,8707,2020,dec/dp,,North Lake
Total Housing Units: Occupied,B25002_002E,15598,2020,acs/acs5,,South Lake
Total Housing Units: Occupied,B25002_002E,7697,2020,acs/acs5,,North Lake
Total Housing Units: Occupied,B25002_002E,15460,2021,acs/acs5,,South Lake
Total Housing Units: Occupied,B25002_002E,7956,2021,acs/acs5,,North Lake
Total Housing Units: Occupied,H0040001,3137,1990,dec/sf3,,Washoe County (Tahoe Basin)
Total Housing Units: Occupied,H0040001,3835,1990,dec/sf3,,Placer County (Tahoe Basin)
Total Housing Units: Occupied,H0040001,11589,1990,dec/sf3,,El Dorado County (Tahoe Basin)
Total Housing Units: Occupied,H0040001,2588,1990,dec/sf3,,Douglas County (Tahoe Basin)
Total Housing Units: Occupied,H003002,3924,2010,dec/sf1,,Washoe County (Tahoe Basin)
Total Housing Units: Occupied,H003002,4467,2010,dec/sf1,,Placer County (Tahoe Basin)
Total Housing Units: Occupied,H003002,12877,2010,dec/sf1,,El Dorado County (Tahoe Basin)
Total Housing Units: Occupied,H003002,2600,2010,dec/sf1,,Douglas County (Tahoe Basin)
Total Housing Units: Occupied,H003002,4176,2000,dec/sf1,,Washoe County (Tahoe Basin)
Total Housing Units: Occupied,H003002,4832,2000,dec/sf1,,Placer County (Tahoe Basin)
Total Housing Units: Occupied,H003002,13485,2000,dec/sf1,,El Dorado County (Tahoe Basin)
Total Housing Units: Occupied,H003002,3033,2000,dec/sf1,,Douglas County (Tahoe Basin)
Total Housing Units: Occupied,DP1_0148C,4335,2020,dec/dp,,Washoe County (Tahoe Basin)
Total Housing Units: Occupied,DP1_0148C,4372,2020,dec/dp,,Placer County (Tahoe Basin)
Total Housing Units: Occupied,DP1_0148C,13156,2020,dec/dp,,El Dorado County (Tahoe Basin)
Total Housing Units: Occupied,DP1_0148C,2762,2020,dec/dp,,Douglas County (Tahoe Basin)
Total Housing Units: Occupied,B25002_002E,4032,2020,acs/acs5,,Washoe County (Tahoe Basin)
Total Housing Units: Occupied,B25002_002E,3665,2020,acs/acs5,,Placer County (Tahoe Basin)
Total Housing Units: Occupied,B25002_002E,12985,2020,acs/acs5,,El Dorado County (Tahoe Basin)
Total Housing Units: Occupied,B25002_002E,2613,2020,acs/acs5,,Douglas County (Tahoe Basin)
Total Housing Units: Occupied,B25002_002E,4123,2021,acs/acs5,,Washoe County (Tahoe Basin)
Total Housing Units: Occupied,B25002_002E,3833,2021,acs/acs5,,Placer County (Tahoe Basin)
Total Housing Units: Occupied,B25002_002E,12791,2021,acs/acs5,,El Dorado County (Tahoe Basin)
Total Housing Units: Occupied,B25002_002E,2669,2021,acs/acs5,,Douglas County (Tahoe Basin)
Total Housing Units: Occupied,H0040001,21149,1990,dec/sf3,,Basin
Total Housing Units,H0010001,21015,1990,dec/sf3,,El Dorado County (Tahoe Basin)
Total Housing Units,H0010001,5210,1990,dec/sf3,,Douglas County (Tahoe Basin)
Total Housing Units,H003001,7664,2000,dec/sf1,,Washoe County (Tahoe Basin)
Total Housing Units,H003001,11481,2000,dec/sf1,,Placer County (Tahoe Basin)
Total Housing Units,H003001,22015,2000,dec/sf1,,El Dorado County (Tahoe Basin)
Total Housing Units,H003001,4934,2000,dec/sf1,,Douglas County (Tahoe Basin)
Total Housing Units,H001001,7954,2010,dec/sf1,,Washoe County (Tahoe Basin)
Total Housing Units,H001001,12106,2010,dec/sf1,,Placer County (Tahoe Basin)
Total Housing Units,H001001,23950,2010,dec/sf1,,El Dorado County (Tahoe Basin)
Total Housing Units,H001001,4824,2010,dec/sf1,,Douglas County (Tahoe Basin)
Total Housing Units,DP1_0147C,7668,2020,dec/dp,,Washoe County (Tahoe Basin)
Total Housing Units,DP1_0147C,12204,2020,dec/dp,,Placer County (Tahoe Basin)
Total Housing Units,DP1_0147C,25191,2020,dec/dp,,El Dorado County (Tahoe Basin)
Total Housing Units,DP1_0147C,4529,2020,dec/dp,,Douglas County (Tahoe Basin)
Total Housing Units,B25001_001E,7966,2020,acs/acs5,,Washoe County (Tahoe Basin)
Total Housing Units,B25001_001E,11897,2020,acs/acs5,,Placer County (Tahoe Basin)
Total Housing Units,B25001_001E,25796,2020,acs/acs5,,El Dorado County (Tahoe Basin)
Total Housing Units,B25001_001E,4766,2020,acs/acs5,,Douglas County (Tahoe Basin)
Total Housing Units,B25001_001E,7897,2021,acs/acs5,,Washoe County (Tahoe Basin)
Total Housing Units,B25001_001E,12158,2021,acs/acs5,,Placer County (Tahoe Basin)
Total Housing Units,B25001_001E,25392,2021,acs/acs5,,El Dorado County (Tahoe Basin)
Total Housing Units,B25001_001E,4761,2021,acs/acs5,,Douglas County (Tahoe Basin)
Total Housing Units,H0010001,43656,1990,dec/sf3,,Basin
Total Housing Units,H003001,46094,2000,dec/sf1,,Basin
Total Housing Units,H001001,48834,2010,dec/sf1,,Basin
Total Housing Units,DP1_0147C,49592,2020,dec/dp,,Basin
Total Housing Units,B25001_001E,50425,2020,acs/acs5,,Basin
Total Housing Units,B25001_001E,50208,2021,acs/acs5,,Basin
Total Housing Units: Occupied,H003002,23868,2010,dec/sf1,,Basin
Total Housing Units: Occupied,H003002,25526,2000,dec/sf1,,Basin
Total Housing Units: Occupied,DP1_0148C,24625,2020,dec/dp,,Basin
Total Housing Units: Occupied,B25002_002E,23295,2020,acs/acs5,,Basin
Total Housing Units: Occupied,B25002_002E,23416,2021,acs/acs5,,Basin
Total Housing Units,H0010001,26225,1990,dec/sf3,,South Lake
Total Housing Units,H0010001,17431,1990,dec/sf3,,North Lake
Total Housing Units,H003001,26949,2000,dec/sf1,,South Lake
Total Housing Units,H003001,19145,2000,dec/sf1,,North Lake
Total Housing Units,H001001,28774,2010,dec/sf1,,South Lake
Total Housing Units,H001001,20060,2010,dec/sf1,,North Lake
Total Housing Units,DP1_0147C,29720,2020,dec/dp,,South Lake
Total Housing Units,DP1_0147C,19872,2020,dec/dp,,North Lake
Total Housing Units,B25001_001E,30562,2020,acs/acs5,,South Lake
Total Housing Units,B25001_001E,19863,2020,acs/acs5,,North Lake
Total Housing Units,B25001_001E,30153,2021,acs/acs5,,South Lake
Total Housing Units,B25001_001E,20055,2021,acs/acs5,,North Lake
Total Housing Units,H0010001,6754,1990,dec/sf3,,Washoe County (Tahoe Basin)
Total Housing Units,H0010001,10677,1990,dec/sf3,,Placer County (Tahoe Basin)
Household Income,,92023.7298,2018,acs/acs5,Not adjusted for inflation,Washoe County (Tahoe Basin)
Household Income,,55688.05389,2018,acs/acs5,Not adjusted for inflation,Placer County (Tahoe Basin)
Household Income,,57154.07294,2018,acs/acs5,Not adjusted for inflation,El Dorado County (Tahoe Basin)
Household Income,,62478.91423,2018,acs/acs5,Not adjusted for inflation,Douglas County (Tahoe Basin)
Household Income,,86639.86896,2017,acs/acs5,Not adjusted for inflation,Washoe County (Tahoe Basin)
Household Income,,57316.7865,2017,acs/acs5,Not adjusted for inflation,Placer County (Tahoe Basin)
Household Income,,53628.81924,2017,acs/acs5,Not adjusted for inflation,El Dorado County (Tahoe Basin)
Household Income,,61001.8416,2017,acs/acs5,Not adjusted for inflation,Douglas County (Tahoe Basin)
Household Income,,79982.11203,2016,acs/acs5,Not adjusted for inflation,Washoe County (Tahoe Basin)
Household Income,,57563.81919,2016,acs/acs5,Not adjusted for inflation,Placer County (Tahoe Basin)
Household Income,,51660.90772,2016,acs/acs5,Not adjusted for inflation,El Dorado County (Tahoe Basin)
Household Income,,64328.28286,2016,acs/acs5,Not adjusted for inflation,Douglas County (Tahoe Basin)
Household Income,,74204.56144,2015,acs/acs5,Not adjusted for inflation,Washoe County (Tahoe Basin)
Household Income,,54148.05677,2015,acs/acs5,Not adjusted for inflation,Placer County (Tahoe Basin)
Household Income,,48716.83573,2015,acs/acs5,Not adjusted for inflation,El Dorado County (Tahoe Basin)
Household Income,,65890.01826,2015,acs/acs5,Not adjusted for inflation,Douglas County (Tahoe Basin)
Household Income,,70076.89379,2014,acs/acs5,Not adjusted for inflation,Washoe County (Tahoe Basin)
Household Income,,59169.48655,2014,acs/acs5,Not adjusted for inflation,Placer County (Tahoe Basin)
Household Income,,47345.86643,2014,acs/acs5,Not adjusted for inflation,El Dorado County (Tahoe Basin)
Household Income,,56012.91216,2014,acs/acs5,Not adjusted for inflation,Douglas County (Tahoe Basin)
Household Income,,70601.2762,2013,acs/acs5,Not adjusted for inflation,Washoe County (Tahoe Basin)
Household Income,,58653.95685,2013,acs/acs5,Not adjusted for inflation,Placer County (Tahoe Basin)
Household Income,,47114.51954,2013,acs/acs5,Not adjusted for inflation,El Dorado County (Tahoe Basin)
Household Income,,58749.125,2013,acs/acs5,Not adjusted for inflation,Douglas County (Tahoe Basin)
Household Income,,68587.75552,2012,acs/acs5,Not adjusted for inflation,Washoe County (Tahoe Basin)
Household Income,,62493.76578,2012,acs/acs5,Not adjusted for inflation,Placer County (Tahoe Basin)
Household Income,,47320.14656,2012,acs/acs5,Not adjusted for inflation,El Dorado County (Tahoe Basin)
Household Income,,63476.33073,2012,acs/acs5,Not adjusted for inflation,Douglas County (Tahoe Basin)
Household Income,,81408.7456,2011,acs/acs5,Not adjusted for inflation,Washoe County (Tahoe Basin)
Household Income,,61229.42623,2011,acs/acs5,Not adjusted for inflation,Placer County (Tahoe Basin)
Household Income,,46997.16937,2011,acs/acs5,Not adjusted for inflation,El Dorado County (Tahoe Basin)
Household Income,,63692.64721,2011,acs/acs5,Not adjusted for inflation,Douglas County (Tahoe Basin)
Household Income,,80731.94798,2010,acs/acs5,Not adjusted for inflation,Washoe County (Tahoe Basin)
Household Income,,59446.49461,2010,acs/acs5,Not adjusted for inflation,Placer County (Tahoe Basin)
Household Income,,49053.02284,2010,acs/acs5,Not adjusted for inflation,El Dorado County (Tahoe Basin)
